Department,Year,Semester,Subject Name
Civil Engineering,2,4,Instrumentation and Sensor Technologies for Civil Engineering Applications
Civil Engineering,2,4,Energy Science and Engineering
Civil Engineering,2,4,Structural Analysis and Design of Steel Structures
Civil Engineering,2,4,Design of RCC Structures
Civil Engineering,2,4,Hydrology and Water Resources Engineering
Civil Engineering,2,4,Computer-aided Civil Engineering Drawing
Civil Engineering,3,5,Principles of Economics
Civil Engineering,3,5,Essence of Indian Knowledge and Tradition (Audit)
Civil Engineering,3,5,Structural Analysis
Civil Engineering,3,5,Geotechnical Engineering – II
Civil Engineering,3,5,Environmental Engineering – II
Civil Engineering,3,5,Transportation Engineering – II
Civil Engineering,3,5,Materials Testing and Evaluation
Civil Engineering,3,5,Disaster Preparedness and Planning
Civil Engineering,3,5,Study Tour (Audit)
Civil Engineering,3,6,Organizational Behaviour
Civil Engineering,3,6,Open Elective – I (From MOOC)
Civil Engineering,3,6,Construction Engineering & Management
Civil Engineering,3,6,Programme Elective – I
Civil Engineering,3,6,Programme Elective – II
Civil Engineering,3,6,Programme Elective – III
Civil Engineering,3,6,Programme Elective – IV
Civil Engineering,3,6,Seminar
Civil Engineering,4,7,Open Elective – II
Civil Engineering,4,7,Engineering Economics and Estimation
Civil Engineering,4,7,Engineering Geology
Civil Engineering,4,7,Programme Elective – V
Civil Engineering,4,7,Programme Elective – VI
Civil Engineering,4,7,Project – I
Civil Engineering,4,7,Industrial Training
Civil Engineering,4,8,Open Elective – III (From MOOC)
Civil Engineering,4,8,Open Elective – IV
Civil Engineering,4,8,Programme Elective – VII
Civil Engineering,4,8,Programme Elective – VIII
Civil Engineering,4,8,Project – II
Civil Engineering,4,8,Extra-Curricular Activities and Discipline
Computer Science and Engineering,1,1,Quantum Mechanics for Engineers
Computer Science and Engineering,1,1,Mathematics – I
Computer Science and Engineering,1,1,Basic Electrical Engineering
Computer Science and Engineering,1,1,Engineering Graphics and Design
Computer Science and Engineering,1,1,Biology for Engineers
Computer Science and Engineering,1,2,Engineering Chemistry – A
Computer Science and Engineering,1,2,Mathematics – II
Computer Science and Engineering,1,2,Programming for Problem Solving
Computer Science and Engineering,1,2,Workshop Practice
Computer Science and Engineering,1,2,Communication Skills
Computer Science and Engineering,1,2,Environmental Science (Audit)
Computer Science and Engineering,2,3,Mathematics – III
Computer Science and Engineering,2,3,Engineering Mechanics
Computer Science and Engineering,2,3,Basic Electronics Engineering
Computer Science and Engineering,2,3,Digital Logic Design
Computer Science and Engineering,2,3,Data Structure and Algorithms
Computer Science and Engineering,2,3,Programming Tools and Techniques
Computer Science and Engineering,2,4,Entrepreneurship and Startups
Computer Science and Engineering,2,4,Indian Constitution (Audit)
Computer Science and Engineering,2,4,Discrete Mathematics
Computer Science and Engineering,2,4,Computer Organization and Architecture
Computer Science and Engineering,2,4,Programming in Java
Computer Science and Engineering,2,4,Design and Analysis of Algorithms
Computer Science and Engineering,3,5,Principles of Economics
Computer Science and Engineering,3,5,Essence of Indian Knowledge and Tradition (Audit)
Computer Science and Engineering,3,5,Signals and Systems
Computer Science and Engineering,3,5,Database Management Systems
Computer Science and Engineering,3,5,Formal Language and Automata Theory
Computer Science and Engineering,3,5,Operating Systems
Computer Science and Engineering,3,5,Microprocessors
Computer Science and Engineering,3,5,Study Tour (Audit)
Computer Science and Engineering,3,6,Organizational Behaviour
Computer Science and Engineering,3,6,Open Elective – I (From MOOC)
Computer Science and Engineering,3,6,Programme Elective – I
Computer Science and Engineering,3,6,Programme Elective – II
Computer Science and Engineering,3,6,Compiler Design
Computer Science and Engineering,3,6,Computer Networks
Computer Science and Engineering,3,6,Seminar
Computer Science and Engineering,4,7,Open Elective – II
Computer Science and Engineering,4,7,Programme Elective – III
Computer Science and Engineering,4,7,Programme Elective – IV
Computer Science and Engineering,4,7,Project – I
Computer Science and Engineering,4,7,Industrial Training
Computer Science and Engineering,4,8,Open Elective – III (From MOOC)
Computer Science and Engineering,4,8,Open Elective – IV
Computer Science and Engineering,4,8,Programme Elective – V
Computer Science and Engineering,4,8,Programme Elective – VI
Computer Science and Engineering,4,8,Project – II
Computer Science and Engineering,4,8,Extra-Curricular Activities and Discipline
Electronics and Communication Engineering,1,1,Oscillations, Waves and Optics
Electronics and Communication Engineering,1,1,Mathematics – I
Electronics and Communication Engineering,1,1,Basic Electrical Engineering
Electronics and Communication Engineering,1,1,Engineering Graphics and Design
Electronics and Communication Engineering,1,1,Biology for Engineers
Electronics and Communication Engineering,1,2,Engineering Chemistry – A
Electronics and Communication Engineering,1,2,Mathematics – II
Electronics and Communication Engineering,1,2,Programming for Problem Solving
Electronics and Communication Engineering,1,2,Workshop Practice
Electronics and Communication Engineering,1,2,Communication Skills
Electronics and Communication Engineering,1,2,Environmental Science (Audit)
Electronics and Communication Engineering,2,3,Mathematics – III
Electronics and Communication Engineering,2,3,Engineering Mechanics
Electronics and Communication Engineering,2,3,Basic Electronics Engineering
Electronics and Communication Engineering,2,3,Electronic Instrumentation and Measurements
Electronics and Communication Engineering,2,3,Digital Electronics
Electronics and Communication Engineering,2,3,Signals and Systems
Electronics and Communication Engineering,2,4,Entrepreneurship and Startups
Electronics and Communication Engineering,2,4,Indian Constitution (Audit)
Electronics and Communication Engineering,2,4,Microprocessors and Applications
Electronics and Communication Engineering,2,4,Analog Communication Systems
Electronics and Communication Engineering,2,4,Linear Integrated Circuits
Electronics and Communication Engineering,2,4,Circuits and Devices
Electronics and Communication Engineering,2,4,Power Electronics
Electronics and Communication Engineering,3,5,Principles of Economics
Electronics and Communication Engineering,3,5,Essence of Indian Knowledge and Tradition (Audit)
Electronics and Communication Engineering,3,5,Applied Probability and Statistics
Electronics and Communication Engineering,3,5,Digital Design using HDL
Electronics and Communication Engineering,3,5,Digital Signal Processing
Electronics and Communication Engineering,3,5,Electromagnetic Theory
Electronics and Communication Engineering,3,5,Control Systems
Electronics and Communication Engineering,3,5,Study Tour (Audit)
Electronics and Communication Engineering,3,6,Organizational Behaviour
Electronics and Communication Engineering,3,6,Open Elective – I (From MOOC)
Electronics and Communication Engineering,3,6,Programme Elective – I
Electronics and Communication Engineering,3,6,Programme Elective – II
Electronics and Communication Engineering,3,6,Seminar
Electronics and Communication Engineering,3,6,Digital Communications
Electronics and Communication Engineering,3,6,Microwave Engineering
Electronics and Communication Engineering,3,6,Microelectronics
Electronics and Communication Engineering,4,7,Open Elective – II
Electronics and Communication Engineering,4,7,Programme Elective – III
Electronics and Communication Engineering,4,7,Programme Elective – IV
Electronics and Communication Engineering,4,7,Antenna and Radar Engineering
Electronics and Communication Engineering,4,7,VLSI Designs
Electronics and Communication Engineering,4,7,Project – I
Electronics and Communication Engineering,4,7,Industrial Training
Electronics and Communication Engineering,4,8,Open Elective – III (From MOOC)
Electronics and Communication Engineering,4,8,Open Elective – IV
Electronics and Communication Engineering,4,8,Programme Elective – V
Electronics and Communication Engineering,4,8,Programme Elective – VI
Electronics and Communication Engineering,4,8,Project – II
Electronics and Communication Engineering,4,8,Extra-Curricular Activities and Discipline
Electrical Engineering,1,1,Introduction to Electromagnetic Theory
Electrical Engineering,1,1,Mathematics – I
Electrical Engineering,1,1,Basic Electrical Engineering
Electrical Engineering,1,1,Engineering Graphics and Design
Electrical Engineering,1,1,Biology for Engineers
Electrical Engineering,1,2,Engineering Chemistry – A
Electrical Engineering,1,2,Mathematics – II
Electrical Engineering,1,2,Programming for Problem Solving
Electrical Engineering,1,2,Workshop Practices
Electrical Engineering,1,2,Communication Skills
Electrical Engineering,1,2,Environmental Science (Audit)
Electrical Engineering,2,3,Mathematics – III
Electrical Engineering,2,3,Engineering Mechanics
Electrical Engineering,2,3,Basic Electronics Engineering
Electrical Engineering,2,3,Analog Electronic Circuits
Electrical Engineering,2,3,Electrical Circuit Analysis
